task,metric,perm_idx,null_score
veracity,auc,90,0.49922307642716157
veracity,auc,91,0.5052553573275383
veracity,auc,92,0.5141536906004793
veracity,auc,93,0.49435391776154614
veracity,auc,94,0.538602188579754
veracity,auc,95,0.5115532380825749
veracity,auc,96,0.5116930845407932
veracity,auc,97,0.48521809392034954
veracity,auc,98,0.5015828696541785
veracity,auc,99,0.4984411748947977
veracity,auc,100,0.5080463373190358
veracity,auc,101,0.5054943888255822
veracity,auc,102,0.503266707684646
veracity,auc,103,0.5185631075805388
veracity,auc,104,0.526634355048065
veracity,auc,105,0.521664813540961
veracity,auc,106,0.47926424509094795
veracity,auc,107,0.48747351220996826
veracity,auc,108,0.4732554985348113
veracity,auc,109,0.49427494015982754
veracity,auc,110,0.5037282980612199
veracity,auc,111,0.44786571788942203
veracity,auc,112,0.4992212535537332
veracity,auc,113,0.532561869424121
veracity,auc,114,0.4874190371273189
veracity,auc,115,0.5172445974105322
veracity,auc,116,0.45857977537895855
veracity,auc,117,0.513803431627897
veracity,auc,118,0.46685203179890467
veracity,auc,119,0.5071236228437064
veracity,auc,120,0.49557488380865805
veracity,auc,121,0.5021478454642233
veracity,auc,122,0.512318840818845
veracity,auc,123,0.4959825873624439
veracity,auc,124,0.47795183160953664
veracity,auc,125,0.5090341761313784
veracity,auc,126,0.4931147815916715
veracity,auc,127,0.526452660911605
veracity,auc,128,0.5007890671915352
veracity,auc,129,0.472727750761493
veracity,auc,130,0.48810509157068155
veracity,auc,131,0.49311552670223824
veracity,auc,132,0.45783912453190617
veracity,auc,133,0.4877788694647288
veracity,auc,134,0.5133061821184154
veracity,auc,135,0.5253348568888951
veracity,auc,136,0.49238810913120384
veracity,auc,137,0.5110116174965199
veracity,auc,138,0.5137588435714271
veracity,auc,139,0.5030230552850716
veracity,auc,140,0.5213267970563097
veracity,auc,141,0.5193986753332894
veracity,auc,142,0.49345940417907386
veracity,auc,143,0.5233249092817125
veracity,auc,144,0.5174766308296966
veracity,auc,145,0.5188115212744007
veracity,auc,146,0.5131465440441005
veracity,auc,147,0.4941544946933332
veracity,auc,148,0.47012621333352406
veracity,auc,149,0.4997061311170907
veracity,auc,150,0.5225056170895769
veracity,auc,151,0.4638974434664552
veracity,auc,152,0.4891840429084106
veracity,auc,153,0.48733982768014605
veracity,auc,154,0.4956751615333122
veracity,auc,155,0.49862754790011754
veracity,auc,156,0.46093544372369416
veracity,auc,157,0.509408537066874
veracity,auc,158,0.4953542982732765
veracity,auc,159,0.5030469085876215
veracity,auc,160,0.4807534429422156
veracity,auc,161,0.522563841685096
veracity,auc,162,0.5041490197368413
veracity,auc,163,0.5110025383984188
veracity,auc,164,0.48208351115832715
veracity,auc,165,0.5061573659162575
veracity,auc,166,0.499598325692201
veracity,auc,167,0.5012391620113211
veracity,auc,168,0.49781178915648727
veracity,auc,169,0.5036654531268834
veracity,auc,170,0.5278189420601211
veracity,auc,171,0.4969634409695246
veracity,auc,172,0.48334612117305154
veracity,auc,173,0.5251138496850549
veracity,auc,174,0.5044890589413197
veracity,auc,175,0.4906136599883661
veracity,auc,176,0.49580150478797125
veracity,auc,177,0.515495543236153
veracity,auc,178,0.4953899531784295
veracity,auc,179,0.4994471028411283
veracity,auc,180,0.49549769005377187
veracity,auc,181,0.5060282951096173
veracity,auc,182,0.5049785860663054
veracity,auc,183,0.4964244383618812
veracity,auc,184,0.4974092179472012
veracity,auc,185,0.49470054311864164
veracity,auc,186,0.5211843955868046
veracity,auc,187,0.47462156791030274
veracity,auc,188,0.463700840659819
veracity,auc,189,0.5008789174311555
veracity,auc,190,0.5169063802581012
veracity,auc,191,0.4689134000811489
veracity,auc,192,0.4840693082526853
veracity,auc,193,0.5220134032452703
veracity,auc,194,0.5154292898621967
veracity,auc,195,0.4703258466330548
veracity,auc,196,0.5047847849130008
veracity,auc,197,0.4756807092012402
veracity,auc,198,0.501636225078222
veracity,auc,199,0.4793894833550173
reach,r2,0,-0.00922123078297834
reach,r2,1,-0.00988865320319805
reach,r2,2,-0.01095598969746565
reach,r2,3,-0.004065493356915373
