task,window_type,window_value,feature_set,model,metric,mean,se,N_used
veracity,k,30,structure_only,logit,auc,0.5005865002642661,0.001634471530841104,2281
reach,k,30,structure_only,OLS,r2,-0.6016630322085693,0.24393403121555982,2281
reach,k,30,structure_only,OLS,mae,194017319480.16483,143296004989.49393,2281
veracity,k,30,full,logit,auc,0.6505032569235011,0.010288537954437491,2281
reach,k,30,full,OLS,r2,-0.486977434319126,0.31443281081952323,2281
reach,k,30,full,OLS,mae,51718924179.699974,31578960050.759167,2281
veracity,k,30,interaction_full,logit,auc,0.6505595790586913,0.0102796417095588,2281
reach,k,30,interaction_full,OLS,r2,-0.486651542526786,0.3146342707863108,2281
reach,k,30,interaction_full,OLS,mae,681288306022.693,671652652322.1118,2281
veracity,k,45,baseline,logit,auc,0.6368915886354978,0.008227008906378107,2281
reach,k,45,baseline,OLS,r2,0.23424286252742296,0.06798460671851293,2281
reach,k,45,baseline,OLS,mae,0.5130350466534846,0.010999276536523283,2281
veracity,k,45,structure_only,logit,auc,0.50057025116309,0.0023691907313418098,2281
reach,k,45,structure_only,OLS,r2,-0.03936491166661773,0.05164379454621438,2281
reach,k,45,structure_only,OLS,mae,0.6334253792350317,0.005989744952143948,2281
veracity,k,45,full,logit,auc,0.6451227258653452,0.010239351342037156,2281
reach,k,45,full,OLS,r2,0.1919055281695111,0.1085759188683298,2281
reach,k,45,full,OLS,mae,0.5134447662293076,0.010987665130632792,2281
veracity,k,45,interaction_full,logit,auc,0.6450135727435955,0.01015097073687402,2281
reach,k,45,interaction_full,OLS,r2,-0.6832364627246719,0.24275645454611627,2281
reach,k,45,interaction_full,OLS,mae,0.8209589078764526,0.24741344157475115,2281
veracity,k,60,baseline,logit,auc,0.6339279271119318,0.009272916729121592,2281
reach,k,60,baseline,OLS,r2,0.23716329851970172,0.09326882064287507,2281
reach,k,60,baseline,OLS,mae,0.5047788597799521,0.012249672080195183,2281
veracity,k,60,structure_only,logit,auc,0.5032454401526452,0.003618934134415494,2281
reach,k,60,structure_only,OLS,r2,0.029052202964034147,0.004390778712025126,2281
reach,k,60,structure_only,OLS,mae,0.6198003919493992,0.0069505150790459954,2281
veracity,k,60,full,logit,auc,0.6393343643776016,0.014133414290756362,2281
reach,k,60,full,OLS,r2,0.2863317424332264,0.048262331463991566,2281
reach,k,60,full,OLS,mae,0.4981933417789497,0.010417950559043914,2281
veracity,k,60,interaction_full,logit,auc,0.6403948324721547,0.013630213417723717,2281
reach,k,60,interaction_full,OLS,r2,0.25410633731937116,0.05416804250025332,2281
reach,k,60,interaction_full,OLS,mae,0.5028376122520882,0.009437986723948954,2281
veracity,k,90,baseline,logit,auc,0.6243795248296571,0.013251142639503184,2281
reach,k,90,baseline,OLS,r2,0.27873316939544374,0.06810313943759554,2281
reach,k,90,baseline,OLS,mae,0.5013584488588215,0.010422780694379841,2281
veracity,k,90,structure_only,logit,auc,0.4991063250451866,0.007633107415653682,2281
reach,k,90,structure_only,OLS,r2,0.12775264168978043,0.010653293831234553,2281
reach,k,90,structure_only,OLS,mae,0.5751928049634929,0.0046197580024419545,2281
veracity,k,90,full,logit,auc,0.619329166856954,0.013404329099949456,2281
reach,k,90,full,OLS,r2,0.3975749600036869,0.0318833002062413,2281
reach,k,90,full,OLS,mae,0.45786777575484006,0.009879348394790422,2281
veracity,k,90,interaction_full,logit,auc,0.6215938705266355,0.013622948885039373,2281
reach,k,90,interaction_full,OLS,r2,0.3992856222696274,0.03192313765560102,2281
reach,k,90,interaction_full,OLS,mae,0.45746748163326834,0.009873292470287367,2281
veracity,k,120,baseline,logit,auc,0.6279289223579636,0.014411022570734077,2281
reach,k,120,baseline,OLS,r2,0.4015257569258863,0.024125049964765215,2281
reach,k,120,baseline,OLS,mae,0.4616833171732167,0.004940297588526417,2281
veracity,k,120,structure_only,logit,auc,0.5154102635793922,0.006770195961328115,2281
reach,k,120,structure_only,OLS,r2,0.3346822297071459,0.02272379857579116,2281
reach,k,120,structure_only,OLS,mae,0.48912708329337634,0.009517931074356951,2281
veracity,k,120,full,logit,auc,0.6206510606790616,0.013289951627717556,2281
reach,k,120,full,OLS,r2,0.5560527186654374,0.021631049749377372,2281
reach,k,120,full,OLS,mae,0.3791145193154378,0.006315255797639082,2281
veracity,k,120,interaction_full,logit,auc,0.6205978224491805,0.01427609980554257,2281
reach,k,120,interaction_full,OLS,r2,0.5562370957185834,0.02165499595364627,2281
