window_type,window_value,feature,corr_with_log_volume_raw,corr_with_log_volume_resid,n
time,180,virality_norm,-0.5240626967817569,-3.205646444813357e-16,2281
k,10,leaf_fraction,1.0,,2281
k,10,internal_fraction,-1.0,,2281
k,10,depth_mean_norm,,,2281
k,10,depth_std_norm,-1.0,,2281
k,10,depth_entropy_norm,,,2281
k,10,depth_p90_norm,,,2281
k,10,degree_gini,1.0,,2281
k,10,branching_entropy_norm,,,2281
k,10,subtree_imbalance,,,2281
k,10,virality_norm,-1.0,,2281
k,20,leaf_fraction,-7.448221917187868e-14,-1.4353204424800822e-16,2281
k,20,internal_fraction,5.606982781150255e-15,1.838217408790278e-16,2281
k,20,depth_mean_norm,2.4060066172919523e-14,-7.662441456343797e-17,2281
k,20,depth_std_norm,1.1935991346648892e-15,1.1973604764758078e-16,2281
k,20,depth_entropy_norm,-1.6253893724496301e-15,-7.752679572539355e-17,2281
k,20,depth_p90_norm,-9.772167655859289e-17,-7.472834089774751e-17,2281
k,20,degree_gini,-5.611196877137176e-13,8.45905606929273e-17,2281
k,20,branching_entropy_norm,7.461101132841537e-17,6.839342705104743e-17,2281
k,20,subtree_imbalance,1.7782025481836562e-16,1.7782025481836562e-16,2281
k,20,virality_norm,1.2983867007931698e-14,-6.785047558492735e-18,2281
k,30,leaf_fraction,1.2299655882810766e-14,-6.452539679453832e-17,2281
k,30,internal_fraction,-1.362202821218031e-15,6.611861646847755e-17,2281
k,30,depth_mean_norm,8.553152352826504e-15,1.4088803917291343e-16,2281
k,30,depth_std_norm,-1.976604998175102e-15,-6.53992076017883e-17,2281
k,30,depth_entropy_norm,-1.2177159317484137e-15,-4.990639064542679e-17,2281
k,30,depth_p90_norm,-7.621181645400226e-15,1.6146571282627597e-17,2281
k,30,degree_gini,-1.1173455794245175e-13,1.2519599933930158e-16,2281
k,30,branching_entropy_norm,1.7138778161958396e-16,1.6687757684012123e-16,2281
k,30,subtree_imbalance,-2.3522170564232678e-17,-2.3522170564232678e-17,2281
k,30,virality_norm,1.0482076326374804e-14,-1.621254996005442e-16,2281
k,45,leaf_fraction,4.3603349063533125e-15,-7.827728887735334e-17,2281
k,45,internal_fraction,2.0946422671810282e-16,4.203780328598603e-17,2281
k,45,depth_mean_norm,-9.01746291756792e-16,-3.610888830627847e-17,2281
k,45,depth_std_norm,8.320196369229181e-17,5.206663765649708e-17,2281
k,45,depth_entropy_norm,4.306808635967424e-16,9.718285720770647e-17,2281
k,45,depth_p90_norm,3.3916557544097285e-15,8.219573894615413e-17,2281
k,45,degree_gini,-3.695014769005293e-14,-2.5681360516848563e-17,2281
k,45,branching_entropy_norm,-6.228378539066888e-18,-6.228378539066888e-18,2281
k,45,subtree_imbalance,-3.257948450340324e-17,-3.257948450340324e-17,2281
k,45,virality_norm,1.6645023142780407e-15,-9.314438822631477e-17,2281
k,60,leaf_fraction,0.2656860604842771,1.455421098916324e-14,2281
k,60,internal_fraction,-0.2656860604842772,-6.445635169566324e-15,2281
k,60,depth_mean_norm,-0.09426141137903415,-1.6259406416519894e-14,2281
k,60,depth_std_norm,-0.17246139898601137,-2.881118965655309e-14,2281
k,60,depth_entropy_norm,-0.11460354103786811,-1.8317352696733723e-14,2281
k,60,depth_p90_norm,0.29333117809518056,1.193090732934533e-14,2281
k,60,degree_gini,0.12657919327092923,1.1433533419502814e-14,2281
k,60,branching_entropy_norm,-0.0965264845876148,-2.5444852597430655e-14,2281
k,60,subtree_imbalance,-0.02973938336578263,-1.731916975619784e-14,2281
k,60,virality_norm,-0.1787258828206234,-1.257209645693884e-14,2281
k,90,leaf_fraction,0.1525775090655791,1.9605513789260965e-15,2281
k,90,internal_fraction,-0.15257750906557913,-7.310650920066307e-16,2281
k,90,depth_mean_norm,-0.08120609000084922,-5.653234773272266e-16,2281
k,90,depth_std_norm,-0.10844118802572328,-1.2931484592574462e-15,2281
k,90,depth_entropy_norm,-0.084434705265932,2.297222172650376e-16,2281
k,90,depth_p90_norm,0.20610260124506172,-2.489596583807498e-15,2281
k,90,degree_gini,0.10269373524515073,8.358779127643097e-15,2281
k,90,branching_entropy_norm,-0.07275145213215194,-2.5384467750026993e-16,2281
k,90,subtree_imbalance,-0.020108199050301288,-5.767989016909317e-16,2281
k,90,virality_norm,-0.29777356785467274,4.629106887539943e-15,2281
k,120,leaf_fraction,0.42285444545727346,6.365223229021985e-15,2281
k,120,internal_fraction,-0.42285444545727313,4.146539074771907e-15,2281
k,120,depth_mean_norm,-0.34625057799827086,6.735512547692612e-15,2281
k,120,depth_std_norm,-0.3998355713229209,1.1585025845745969e-14,2281
k,120,depth_entropy_norm,-0.3335862807307201,7.269843830026095e-15,2281
k,120,depth_p90_norm,0.5020744612617989,-4.213417371711578e-14,2281
k,120,degree_gini,0.3388683480716457,2.2320057446905268e-14,2281
k,120,branching_entropy_norm,-0.31187159309745527,1.803710266317358e-14,2281
k,120,subtree_imbalance,-0.2947242164017737,9.080331816019625e-15,2281
k,120,virality_norm,-0.6362846610253146,1.388780894520126e-14,2281
k,180,leaf_fraction,0.5453279996059192,-2.2449618582246813e-15,2281
k,180,internal_fraction,-0.5453279996059188,5.6627291049314186e-15,2281
k,180,depth_mean_norm,-0.4891368559632987,5.4984372520487735e-15,2281
k,180,depth_std_norm,-0.5185490091396564,6.0331673619787044e-15,2281
k,180,depth_entropy_norm,-0.48270396928121473,6.595471731204363e-15,2281
k,180,depth_p90_norm,0.6278608547742376,-5.566425427516711e-15,2281
k,180,degree_gini,0.44425028262370964,4.200146209187883e-15,2281
k,180,branching_entropy_norm,-0.47850847408479535,6.2166505866961516e-15,2281
k,180,subtree_imbalance,-0.3775328303644747,1.440528144112883e-15,2281
k,180,virality_norm,-0.7690332972940487,6.731556787977468e-15,2281
